State,State-Code,District,female_school_attendance,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance
Andaman and Nicobar Island,AN,Nicobar,78.0,2.7,62.8,71.7,72.6,85.1,2278.0,97.8,96.7,98.6
Andaman and Nicobar Island,AN,North & Middle Andaman,82.7,2.1,74.5,79.2,83.7,92.5,1904.0,97.7,95.0,98.3
Andaman and Nicobar Island,AN,South Andaman,84.7,1.2,79.4,85.9,81.0,88.1,3460.0,99.5,83.8,96.9
Andhra Pradesh,AP,Anantapur,59.5,73.2,80.3,66.6,72.0,89.1,2682.0,94.7,60.3,98.3
Andhra Pradesh,AP,Chittoor,65.6,70.7,80.3,65.3,71.7,93.8,2533.0,97.1,66.5,97.6
Andhra Pradesh,AP,East Godavari,75.4,66.4,76.3,51.0,62.7,91.9,8159.0,96.6,46.0,89.9
Andhra Pradesh,AP,Guntur,64.9,71.1,89.4,62.5,75.1,94.0,3912.0,98.6,49.6,95.5
Andhra Pradesh,AP,Krishna,74.0,68.1,81.5,73.3,56.2,88.3,3715.0,98.9,40.1,98.0
Andhra Pradesh,AP,Kurnool,55.2,73.3,78.6,74.3,69.8,87.8,2094.0,88.5,51.1,90.6
Andhra Pradesh,AP,Prakasam,58.1,67.6,84.7,73.4,69.0,90.1,,97.4,18.1,97.9
Andhra Pradesh,AP,Sri Potti Sriramulu Nellore,67.9,72.3,89.0,73.0,76.1,95.5,1104.0,97.0,34.9,100.0
Andhra Pradesh,AP,Srikakulam,60.0,75.6,79.7,78.4,67.5,90.8,3479.0,97.9,52.2,96.4
Andhra Pradesh,AP,Visakhapatnam,66.8,64.9,79.4,58.6,75.0,84.8,2200.0,95.3,69.3,94.4
Andhra Pradesh,AP,Vizianagaram,56.0,76.7,76.1,71.4,59.6,83.9,1931.0,99.0,70.6,97.6
Andhra Pradesh,AP,West Godavari,75.4,67.6,82.2,62.7,82.8,94.8,2318.0,98.7,48.8,98.5
Andhra Pradesh,AP,Y.S.R.,61.9,73.3,84.4,82.8,71.2,92.3,3389.0,99.4,40.7,100.0
Assam,AS,Baksa,74.1,69.0,61.1,56.0,56.2,65.0,7312.0,89.9,82.2,92.1
Assam,AS,Barpeta,75.4,58.9,62.2,43.6,49.4,70.5,4829.0,87.6,82.3,87.6
Assam,AS,Biswanath,72.1,68.4,41.2,46.5,63.7,56.5,3676.0,84.3,74.0,84.6
Assam,AS,Bongaigaon,77.0,57.6,65.1,33.9,46.7,57.0,4778.0,84.5,74.9,89.1
Assam,AS,Cachar,80.5,57.9,52.0,32.7,35.6,57.3,3799.0,79.2,74.9,80.2
Assam,AS,Charaideo,75.0,64.9,74.1,64.5,51.7,70.5,4858.0,88.2,76.7,90.5
Assam,AS,Chirang,71.5,61.5,55.9,56.5,47.1,59.7,5052.0,83.7,71.1,82.9
Assam,AS,Darrang,75.2,53.7,56.5,37.5,43.3,53.2,7001.0,84.4,81.1,87.0
Assam,AS,Dhemaji,77.3,66.8,76.2,62.2,45.3,72.8,5168.0,87.3,84.1,91.5
Assam,AS,Dhubri,71.8,59.4,49.9,37.6,47.6,48.4,4691.0,64.2,61.8,68.9
Assam,AS,Dibrugarh,79.5,58.8,75.8,75.6,58.9,82.1,5125.0,93.1,71.6,95.3
Assam,AS,Dima Hasao,85.1,61.9,58.9,46.9,40.8,73.8,4825.0,89.5,84.6,91.9
Assam,AS,Goalpara,78.5,71.1,65.3,44.1,52.2,73.5,4407.0,92.3,87.2,94.2
Assam,AS,Golaghat,77.6,69.3,76.1,65.7,63.7,73.5,5186.0,90.4,81.4,92.1
Assam,AS,Hailakandi,81.5,53.6,77.6,43.1,29.0,68.8,5090.0,83.0,75.1,84.8
Assam,AS,Hojai,79.1,67.4,52.7,51.3,50.5,63.9,5299.0,82.1,59.4,83.5
Assam,AS,Jorhat,84.4,60.1,78.3,67.0,52.1,81.4,8435.0,96.5,74.9,97.4
Assam,AS,Kamrup,79.4,47.0,57.0,46.9,42.5,61.4,8654.0,85.0,69.8,88.5
Assam,AS,Kamrup Metropolitan,87.5,45.5,77.6,68.9,51.7,75.6,8275.0,89.1,55.7,90.1
