State,State-Code,District,female_school_attendance,female_literacy,women_10yr_schooling,child_marriage,hh_electricity,improved_water,improved_sanitation,clean_fuel,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance,csection_rate,child_stunting,child_underweight,women_anaemic
Andaman and Nicobar Island,AN,Nicobar,78.0,87.5,53.5,11.4,97.9,98.8,83.5,56.9,2.7,62.8,71.7,72.6,85.1,2278.0,97.8,96.7,98.6,11.5,21.6,24.6,38.3
Andaman and Nicobar Island,AN,North & Middle Andaman,82.7,84.0,41.0,15.4,93.2,92.2,86.4,61.3,2.1,74.5,79.2,83.7,92.5,1904.0,97.7,95.0,98.3,12.9,27.0,42.8,62.1
Andaman and Nicobar Island,AN,South Andaman,84.7,86.7,57.5,17.1,99.6,97.9,89.3,91.9,1.2,79.4,85.9,81.0,88.1,3460.0,99.5,83.8,96.9,37.1,21.1,17.4,57.7
Andhra Pradesh,AP,Anantapur,59.5,63.6,31.3,37.3,99.6,98.8,71.3,86.4,73.2,80.3,66.6,72.0,89.1,2682.0,94.7,60.3,98.3,22.2,36.0,40.6,50.5
Andhra Pradesh,AP,Chittoor,65.6,69.3,40.3,28.1,99.7,98.5,74.6,86.6,70.7,80.3,65.3,71.7,93.8,2533.0,97.1,66.5,97.6,26.4,27.1,27.9,51.8
Andhra Pradesh,AP,East Godavari,75.4,77.9,43.2,26.0,98.8,97.9,77.7,80.3,66.4,76.3,51.0,62.7,91.9,8159.0,96.6,46.0,89.9,52.2,23.1,22.4,63.0
Andhra Pradesh,AP,Guntur,64.9,68.5,32.6,35.4,99.2,99.3,83.4,91.7,71.1,89.4,62.5,75.1,94.0,3912.0,98.6,49.6,95.5,53.8,23.8,26.9,59.5
Andhra Pradesh,AP,Krishna,74.0,76.9,46.2,25.3,99.6,94.4,79.1,89.8,68.1,81.5,73.3,56.2,88.3,3715.0,98.9,40.1,98.0,66.1,29.8,21.1,60.3
Andhra Pradesh,AP,Kurnool,55.2,57.0,33.4,36.9,99.9,97.9,73.5,78.1,73.3,78.6,74.3,69.8,87.8,2094.0,88.5,51.1,90.6,32.9,50.5,46.3,58.6
Andhra Pradesh,AP,Prakasam,58.1,62.8,34.5,37.3,99.3,98.6,78.4,90.8,67.6,84.7,73.4,69.0,90.1,,97.4,18.1,97.9,54.2,22.6,24.7,60.4
Andhra Pradesh,AP,Sri Potti Sriramulu Nellore,67.9,70.5,38.7,23.8,99.1,95.6,81.8,84.6,72.3,89.0,73.0,76.1,95.5,1104.0,97.0,34.9,100.0,42.3,29.2,27.8,59.4
Andhra Pradesh,AP,Srikakulam,60.0,64.3,42.5,25.4,99.9,87.7,71.6,74.7,75.6,79.7,78.4,67.5,90.8,3479.0,97.9,52.2,96.4,57.0,19.7,21.4,62.6
Andhra Pradesh,AP,Visakhapatnam,66.8,69.5,46.0,25.4,99.6,91.8,77.8,72.9,64.9,79.4,58.6,75.0,84.8,2200.0,95.3,69.3,94.4,26.5,31.0,33.5,58.0
